Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0;0;0;0;0;0;0;0;0;0.950045;0;0;0;0;0;0;0;0;0
0;0;0.000685301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.974604;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.974604;0;0;0;0;0;0;0;0;0
0;0;0.000345787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.990802;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.990802;0;0;0;0;0;0;0;0;0
0;0;0.000228931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0.000177352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.995117;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.995117;0;0;0;0;0;0;0;0;0
0;0;0.000126173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.79E-05;3.65E-05;0;0.00244732;0;0;0;0.00111244;0.000120323;0;0.000485954;0.00029838;6.49E-06;4.78E-06;2.38E-06;5.26E-06;4.26E-05;2.07E-05;6.14E-05
0;0;0;0;0;0;0;0;0;0.938498;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.938498;0;0;0;0;0;0;0;0;0
0;0;0.000133828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.802791;0;0;0;0;0;0;0;0;0
0;0;0.000126662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.569115;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.569115;0;0;0;0;0;0;0;0;0
0;0;0.000125987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
